date,market,nav,daily_return,cumulative_return,holdings,cash,event,signal_date,turnover
2026-09-16,AU,99.27513991,-0.007248600948,-0.007248600948,29,0,rebalance:2026-09-15,2026-09-15,0.5
2026-09-17,AU,99.84793917,0.005769815708,-0.001520608331,29,0.2921754481,dividend:EDU.AX;dividend:WAF.AX,2026-09-15,0
2026-09-18,AU,100.7342465,0.008876570743,0.007342464624,29,0.3350813554,dividend:VLS.AX,2026-09-15,0
