ticker,exchange_symbol,company,sector,industry,market,currency,financial_currency,price_major,shares_outstanding,market_cap_local,market_cap_usd,ttm_revenue,ttm_ebitda,ttm_fcf,ttm_fcf_usd,ttm_source,normalized_fcf_margin,normalized_margin_observations,forward_growth,revenue_cagr,latest_yoy_growth,forward_revenue,forward_fcf,expected_fcf,expected_fcf_usd,total_debt_usd,cash_usd,enterprise_value_usd,enterprise_value_calculated_usd,enterprise_value_provider_usd,enterprise_value_source,fcf_yield,revenue_trend,ebitda_trend,fcf_per_share_trend,z_revenue,z_ebitda,z_fcf_per_share,growth_score,fcf_yield_rank,growth_rank,raw_weight,target_weight,annual_periods,latest_annual_period_end,eligible,exclusion_reasons,data_quality_flags
TOU.AX,TOU,Tlou Energy Limited,Energy,Oil & Gas E&P,AU,AUD,AUD,0.003,1298584319,3895753,2777720.418,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:2777720,
TPC.AX,TPC,TPC Consolidated Limited,Utilities,Utilities - Diversified,AU,AUD,AUD,4.2,12002857,50411996,35944381.12,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:35944381,
TPG.AX,TPG,TPG Telecom Limited,Communication Services,Telecom Services,AU,AUD,AUD,3.92,1963029400,7695075328,5486684566,5034999808,1284999936,4802358784,3424141635,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.9537952268,1,-0.04885444107,-0.02357382691,-0.08677536232,4789017707,4567742230,4685050507,3340499373,2961853746,51336896.9,1.457973243e+10,1.457973243e+10,8398849215,calculated,0.2291193881,-0.0211074434,-0.1389720234,,-0.6925124029,-0.8030058392,,-0.747759121,6,238,,,4,2025-12-31,true,,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
TPW.AX,TPW,Temple & Webster Group Ltd,Consumer Cyclical,Specialty Retail,AU,AUD,AUD,4.47,116546731,520963840,371453707.5,664585984,9996000,7120500,5077005.199,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,0.01071418924,1,0.1553127781,0.1210890919,0.2066483074,767804679.5,8226404.636,7673452.318,5471267.09,16912655.48,102920496.1,391026612.5,391026612.5,314183155.2,calculated,0.01399205813,0.1302806487,0.03917788626,,0.04115482596,-0.3026641525,,-0.1307546633,234,132,,,4,2025-06-30,true,,revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field|preferred_stock_assumed_zero
TR2.AX,TR2,Tali Resources Ltd,Basic Materials,Other Precious Metals & Mining,AU,AUD,AUD,0.36,128820755,46375472,33066289.23,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:33066289,
TR8.AX,TR8,Tarrina Resources Limited,Consumer Defensive,Packaged Foods,AU,AUD,AUD,0.017,426082708,7243406,5164638.708,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:5164639,
TRA.AX,TRA,Turners Automotive Group Limited,Consumer Cyclical,Auto & Truck Dealerships,AU,AUD,NZD,6.99,91025265,636266560,453665983.2,450171008,73850000,-120453872,-69353915.02,revenue=provider_ttm|ebitda=provider_ttm|fcf=provider_ttm_fcf_field,-0.2675735884,1,-0.01991189739,-0.1018961062,0.1030644157,441207249.1,-118055406.9,-119254639.4,,,,,,,,,,,,,,,,,,,,4,2026-03-31,false,expected_fcf_not_positive,reporting_currency_differs:NZD_vs_AUD|revenue_ttm_from_provider|ebitda_ttm_from_provider|fcf_ttm_from_provider_fcf_field
TRE.AX,TRE,Toubani Resources Limited,Basic Materials,Gold,AU,AUD,AUD,0.305,1073810600,327512224,233520295.5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,2025-12-31,false,insufficient_annual_history:2,
TRI.AX,TRI,TrivarX Limited,Healthcare,Health Information Services,AU,AUD,AUD,0.012,1153693464,13844321,9871173.33,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:9871173,
TRJ.AX,TRJ,Trajan Group Holdings Limited,Healthcare,Medical Instruments & Supplies,AU,AUD,AUD,0.155,152863634,23693864,16894020.18,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,false,below_min_market_cap:16894020,
