yahoo_symbol,exchange_symbol,name,stage,reasons
BC8.AX,BC8,Black Cat Syndicate Limited,expected_fcf,expected_fcf_not_positive
BCA.AX,BCA,Black Canyon Limited,market_cap,below_min_market_cap:37159802
BCC.AX,BCC,Beam Communications Holdings Limited,market_cap,below_min_market_cap:2464796
BCI.AX,BCI,BCI Minerals Limited,financial_data,insufficient_annual_history:2
BCK.AX,BCK,Brockman Mining Limited,financial_data,ttm_ebitda_not_positive
BCM.AX,BCM,Brazilian Critical Minerals Limited,financial_data,insufficient_annual_history:0
BCN.AX,BCN,Beacon Minerals Limited,expected_fcf,expected_fcf_not_positive
BDM.AX,BDM,Burgundy Diamond Mines Limited,market_cap,below_min_market_cap:17232752
BDX.AX,BDX,BCAL Diagnostics Limited,market_cap,below_min_market_cap:18664181
BEN.AX,BEN,Bendigo and Adelaide Bank Limited,identity,excluded_sector:Financial Services
BEO.AX,BEO,Beonic Limited,market_cap,below_min_market_cap:9024559
BEZ.AX,BEZ,Besra Gold Inc.,market_cap,below_min_market_cap:19079114
BFG.AX,BFG,Bell Financial Group Limited,identity,excluded_sector:Financial Services
BFL.AX,BFL,BSP Financial Group Limited,identity,excluded_sector:Financial Services
BGD.AX,BGD,Barton Gold Holdings Limited,financial_data,insufficient_annual_history:0
BGE.AX,BGE,Bridge SaaS Limited,market_cap,below_min_market_cap:1425021
BGL.AX,BGL,Bellevue Gold Limited,financial_data,insufficient_annual_history:2
BGT.AX,BGT,Bio-Gene Technology Limited,market_cap,below_min_market_cap:5309832
BH6.AX,BH6,Broken Hill Gold Ltd.,financial_data,insufficient_annual_history:0
BHL.AX,BHL,Black Horse Mining Limited,market_cap,below_min_market_cap:9680067
BHM.AX,BHM,Broken Hill Mines Limited,financial_data,insufficient_annual_history:1
BIM.AX,BIM,Bindi Metals Limited,market_cap,below_min_market_cap:5909790
BIT.AX,BIT,Biotron Limited,market_cap,below_min_market_cap:3971772
BKB.AX,BKB,Black Bear Minerals Limited,financial_data,insufficient_annual_history:0
BKT.AX,BKT,Black Rock Mining Limited,market_cap,below_min_market_cap:19912329
BKY.AX,BKY,Berkeley Energia Limited,financial_data,ttm_ebitda_not_positive
BLG.AX,BLG,BluGlass Limited,market_cap,below_min_market_cap:30080943
BLS.AX,BLS,BLS Pharmaceuticals Limited,expected_fcf,expected_fcf_not_positive
BLU.AX,BLU,Blue Energy Limited,market_cap,below_min_market_cap:10737873
BLZ.AX,BLZ,Blaze Minerals Limited,market_cap,below_min_market_cap:2357397
BM1.AX,BM1,Ballard Mining Limited,financial_data,insufficient_annual_history:0
BM8.AX,BM8,Battery Age Minerals Ltd,market_cap,below_min_market_cap:6948315
BMC.AX,BMC,BMC Minerals Limited,financial_data,insufficient_annual_history:0
BMH.AX,BMH,Baumart Holdings Limited,market_cap,below_min_market_cap:1469971
BML.AX,BML,Boab Metals Limited,financial_data,ttm_ebitda_not_positive
BMM.AX,BMM,Bayan Mining and Minerals Limited,market_cap,below_min_market_cap:5230205
BMN.AX,BMN,Bannerman Energy Ltd,financial_data,insufficient_annual_history:0
BMR.AX,BMR,Ballymore Resources Limited,market_cap,below_min_market_cap:23145661
BMT.AX,BMT,Beamtree Holdings Limited,market_cap,below_min_market_cap:22111209
BNL.AX,BNL,Blue Star Helium Limited,market_cap,below_min_market_cap:21935524
BNR.AX,BNR,Bulletin Resources Limited,market_cap,below_min_market_cap:5861799
BNZ.AX,BNZ,Benz Mining Corp.,financial_data,ttm_ebitda_not_positive
BOA.AX,BOA,BOA Resources Limited,market_cap,below_min_market_cap:15748513
BOC.AX,BOC,Bougainville Copper Limited,market_cap,below_min_market_cap:45754007
BOE.AX,BOE,Boss Energy Limited,financial_data,insufficient_annual_history:2
BOQ.AX,BOQ,Bank of Queensland Limited,identity,excluded_sector:Financial Services
BOT.AX,BOT,Botanix Pharmaceuticals Limited,market_cap,below_min_market_cap:37073542
BPG.AX,BPG,Black Pearl Group Limited,market_cap,below_min_market_cap:15566056
BPH.AX,BPH,BPH Energy Limited,identity,excluded_sector:Financial Services
BPM.AX,BPM,BPM Minerals Limited,market_cap,below_min_market_cap:21845568
BPP.AX,BPP,Babylon Pump & Power Limited,market_cap,below_min_market_cap:9767414
BPT.AX,BPT,Beach Energy Limited,market_cap,market_cap_unavailable
BRE.AX,BRE,Brazilian Rare Earths Limited,financial_data,insufficient_annual_history:0
BRK.AX,BRK,Brookside Energy Limited,market_cap,below_min_market_cap:28329411
BRL.AX,BRL,Bathurst Resources Limited,financial_data,ttm_ebitda_not_positive
BRN.AX,BRN,BrainChip Holdings Ltd,financial_data,ttm_ebitda_not_positive
BRU.AX,BRU,Buru Energy Limited,market_cap,below_min_market_cap:13562387
BRY.AX,BRY,Barys Resources Limited,market_cap,below_min_market_cap:2447372
BSA.AX,BSA,BSA Limited,market_cap,below_min_market_cap:13690909
BSL.AX,BSL,BlueScope Steel Limited,market_cap,market_cap_unavailable
BSN.AX,BSN,Basin Energy Limited,market_cap,below_min_market_cap:5536682
BSR.AX,BSR,Bison Resources Limited,market_cap,below_min_market_cap:19367201
BST.AX,BST,Boresight Ltd,market_cap,market_cap_unavailable
BSX.AX,BSX,Blackstone Minerals Limited,financial_data,insufficient_annual_history:0
BTE.AX,BTE,Botala Energy Limited,market_cap,below_min_market_cap:18918121
BTI.AX,BTI,Bailador Technology Investments Limited,identity,excluded_sector:Financial Services
BTL.AX,BTL,Beetaloo Energy Australia Limited,financial_data,ttm_ebitda_not_positive
BTM.AX,BTM,Breakthrough Minerals Limited,market_cap,below_min_market_cap:16675776
BTN.AX,BTN,Butn Limited,identity,excluded_sector:Financial Services
BTR.AX,BTR,Brightstar Resources Limited,financial_data,insufficient_annual_history:2
BUB.AX,BUB,Bubs Australia Limited,financial_data,ttm_ebitda_not_positive
BUR.AX,BUR,Burley Minerals Ltd,market_cap,below_min_market_cap:3743151
BUS.AX,BUS,Bubalus Resources Limited,market_cap,below_min_market_cap:3737327
BUX.AX,BUX,Buxton Resources Limited,market_cap,below_min_market_cap:11760869
BUY.AX,BUY,Bounty Oil & Gas NL,market_cap,below_min_market_cap:13341160
BVR.AX,BVR,Bellavista Resources Limited,financial_data,insufficient_annual_history:0
BWF.AX,BWF,BlackWall Limited,identity,excluded_sector:Financial Services
BWP.AX,BWP,BWP Trust,identity,excluded_industry:reit
C29.AX,C29,C29 Metals Limited,market_cap,below_min_market_cap:3992607
C79.AX,C79,Chrysos Corporation Limited,expected_fcf,expected_fcf_not_positive
C7A.AX,C7A,Clara Resources Australia Ltd,market_cap,below_min_market_cap:5356530
CAE.AX,CAE,Cannindah Resources Limited,market_cap,below_min_market_cap:29603427
CAF.AX,CAF,Centrepoint Alliance Limited,identity,excluded_sector:Financial Services
CAN.AX,CAN,Cann Group Limited,market_cap,below_min_market_cap:5920119
CAQ.AX,CAQ,CAQ Holdings Limited,market_cap,below_min_market_cap:4606115
CAT.AX,CAT,Catapult Sports Ltd,financial_data,ttm_ebitda_not_positive
CAV.AX,CAV,Carnavale Resources Limited,market_cap,below_min_market_cap:24440290
CAY.AX,CAY,Canyon Resources Limited,financial_data,insufficient_annual_history:0
CAZ.AX,CAZ,Cazaly Resources Limited,market_cap,below_min_market_cap:8399725
CBA.AX,CBA,Commonwealth Bank of Australia,identity,excluded_sector:Financial Services
CBE.AX,CBE,Cobre Limited,financial_data,insufficient_annual_history:0
CBL.AX,CBL,Control Bionics Limited,market_cap,below_min_market_cap:23620970
CBO.AX,CBO,Cobram Estate Olives Limited,expected_fcf,expected_fcf_not_positive
CBY.AX,CBY,Canterbury Resources Limited,market_cap,below_min_market_cap:8176560
CC5.AX,CC5,Clever Culture Systems Limited,market_cap,below_min_market_cap:26451579
CC9.AX,CC9,Chariot Resources Ltd,market_cap,below_min_market_cap:11000816
CCA.AX,CCA,Change Financial Limited,market_cap,below_min_market_cap:23630476
CCE.AX,CCE,Carnegie Clean Energy Limited,financial_data,ttm_ebitda_not_positive
CCG.AX,CCG,Comms Group Limited,market_cap,below_min_market_cap:30553867
CCL.AX,CCL,Cuscal Limited,financial_data,insufficient_annual_history:2
CCM.AX,CCM,Cadoux Limited,market_cap,below_min_market_cap:9454742
