yahoo_symbol,exchange_symbol,name,stage,reasons
EG1.AX,EG1,Evergold Minerals Limited,market_cap,below_min_market_cap:8721333
EGA.AX,EGA,Eastern Gas Corporation Limited,market_cap,below_min_market_cap:10267379
EGG.AX,EGG,Enero Group Limited,market_cap,below_min_market_cap:15526864
EGL.AX,EGL,The Environmental Group Limited,market_cap,below_min_market_cap:21703972
EGR.AX,EGR,EcoGraf Limited,financial_data,insufficient_annual_history:0
EGY.AX,EGY,Energy Technologies Limited,market_cap,below_min_market_cap:9353782
EIQ.AX,EIQ,Echo IQ Limited,financial_data,ttm_ebitda_not_positive
EL8.AX,EL8,Elevate Uranium Ltd,financial_data,insufficient_annual_history:0
ELK.AX,ELK,Elk Range Mining Limited,market_cap,market_cap_unavailable
ELT.AX,ELT,Elementos Limited,financial_data,insufficient_annual_history:0
ELV.AX,ELV,Elevra Lithium Limited,expected_fcf,expected_fcf_not_positive
EM2.AX,EM2,Eagle Mountain Mining Limited,market_cap,below_min_market_cap:7680083
EM3.AX,EM3,EMC Gold Corporation,market_cap,below_min_market_cap:39305140
EMA.AX,EMA,Eminence Minerals Limited,market_cap,below_min_market_cap:4771511
EMB.AX,EMB,Embelton Limited,market_cap,below_min_market_cap:13077920
EMC.AX,EMC,Everest Metals Corporation Ltd,market_cap,below_min_market_cap:20191967
EMD.AX,EMD,Emyria Limited,market_cap,below_min_market_cap:29904581
EME.AX,EME,Energy Metals Limited,market_cap,below_min_market_cap:11960545
EMH.AX,EMH,European Metals Holdings Limited,market_cap,below_min_market_cap:40696247
EML.AX,EML,EML Payments Limited,financial_data,ttm_ebitda_not_positive
EMN.AX,EMN,Euro Manganese Inc.,market_cap,below_min_market_cap:8154266
EMP.AX,EMP,Emperor Energy Limited,financial_data,insufficient_annual_history:0
EMU.AX,EMU,Emu NL,market_cap,below_min_market_cap:4625998
EMV.AX,EMV,EMVision Medical Devices Ltd,financial_data,insufficient_annual_history:0
ENP.AX,ENP,Entropy Neurodynamics Limited,market_cap,below_min_market_cap:47755681
ENR.AX,ENR,Encounter Resources Limited,financial_data,insufficient_annual_history:0
ENT.AX,ENT,Enterprise Metals Limited,market_cap,below_min_market_cap:3566692
ENV.AX,ENV,Enova Mining Limited,market_cap,below_min_market_cap:2756871
EOS.AX,EOS,Electro Optic Systems Holdings Limited,financial_data,ttm_ebitda_not_positive
EPI.AX,EPI,Epiminder Limited,market_cap,below_min_market_cap:43257083
EPM.AX,EPM,Eclipse Metals Limited,market_cap,below_min_market_cap:35206442
EPN.AX,EPN,Epsilon Healthcare Limited,market_cap,below_min_market_cap:6935900
EPX.AX,EPX,EPX Limited,market_cap,below_min_market_cap:10481979
EPY.AX,EPY,Earlypay Limited,identity,excluded_sector:Financial Services
EQR.AX,EQR,EQ Resources Limited,financial_data,ttm_ebitda_not_positive
EQT.AX,EQT,EQT Holdings Limited,identity,excluded_sector:Financial Services
EQU.AX,EQU,Equus Energy Limited,financial_data,insufficient_annual_history:0
EQX.AX,EQX,Equatorial Resources Limited,market_cap,below_min_market_cap:13121105
ERA.AX,ERA,Energy Resources of Australia Ltd,financial_data,ttm_ebitda_not_positive
ERE.AX,ERE,European Resources Limited,market_cap,below_min_market_cap:8982864
ERG.AX,ERG,Eneco Refresh Limited,market_cap,below_min_market_cap:2912923
ERL.AX,ERL,Empire Resources Limited,market_cap,below_min_market_cap:13393420
ESK.AX,ESK,Etherstack plc,financial_data,ttm_ebitda_not_positive
ESR.AX,ESR,Estrella Resources Limited,market_cap,below_min_market_cap:44851461
ETM.AX,ETM,Energy Transition Minerals Ltd,financial_data,insufficient_annual_history:0
EUR.AX,EUR,European Lithium Limited,financial_data,insufficient_annual_history:1
EV1.AX,EV1,Evolution Energy Minerals Limited,market_cap,below_min_market_cap:6405710
EV8.AX,EV8,Everlast Minerals Ltd,market_cap,below_min_market_cap:37451695
EVE.AX,EVE,EVE Health Group Limited,market_cap,below_min_market_cap:4270625
EVG.AX,EVG,Evion Group NL,market_cap,below_min_market_cap:9945065
EVZ.AX,EVZ,EVZ Limited,market_cap,below_min_market_cap:46432657
EWC.AX,EWC,Energy World Corporation Ltd,financial_data,ttm_ebitda_not_positive
EXL.AX,EXL,Elixinol Wellness Limited,market_cap,below_min_market_cap:2499529
EXR.AX,EXR,Elixir Energy Limited,financial_data,insufficient_annual_history:0
EXT.AX,EXT,Excite Technology Services Limited,market_cap,below_min_market_cap:9544853
EYE.AX,EYE,Nova Eye Medical Limited,market_cap,below_min_market_cap:26405552
EZL.AX,EZL,Euroz Hartleys Group Limited,identity,excluded_sector:Financial Services
EZZ.AX,EZZ,EZZ Life Science Holdings Limited,market_cap,below_min_market_cap:14590939
FAL.AX,FAL,Falcon Metals Limited,financial_data,insufficient_annual_history:0
FAR.AX,FAR,FAR Limited,market_cap,below_min_market_cap:19437321
FAU.AX,FAU,First Au Limited,market_cap,below_min_market_cap:32200900
FBR.AX,FBR,FBR Limited,market_cap,below_min_market_cap:9224866
FCG.AX,FCG,Freedom Care Group Holdings Limited,market_cap,below_min_market_cap:2857567
FCL.AX,FCL,FINEOS Corporation Holdings plc,financial_data,ttm_ebitda_not_positive
FCT.AX,FCT,FirstWave Cloud Technology Limited,market_cap,below_min_market_cap:11373694
FDC.AX,FDC,FDC Consolidated Holdings Limited,market_cap,market_cap_unavailable
FDR.AX,FDR,Finder Energy Holdings Limited,financial_data,insufficient_annual_history:0
FDV.AX,FDV,Frontier Digital Ventures Limited,financial_data,ttm_ebitda_not_positive
FEG.AX,FEG,Far East Gold Limited,market_cap,below_min_market_cap:35681491
FEL.AX,FEL,Forte Energy Limited,market_cap,below_min_market_cap:3704829
FFG.AX,FFG,Fatfish Group Limited,identity,excluded_sector:Financial Services
FFI.AX,FFI,FFI Holdings Limited,market_cap,below_min_market_cap:46014550
FFM.AX,FFM,FireFly Metals Ltd,financial_data,insufficient_annual_history:0
FG1.AX,FG1,Flynn Gold Limited,market_cap,below_min_market_cap:8245597
FGH.AX,FGH,Foresta Group Holding Limited,market_cap,below_min_market_cap:18340611
FGR.AX,FGR,First Graphene Limited,market_cap,below_min_market_cap:34148482
FHE.AX,FHE,Frontier Energy Limited,financial_data,insufficient_annual_history:0
FHS.AX,FHS,Freehill Mining Limited,market_cap,below_min_market_cap:2899479
FID.AX,FID,Fiducian Group Ltd,identity,excluded_sector:Financial Services
FIN.AX,FIN,Fin Resources Limited,market_cap,below_min_market_cap:6039677
FL1.AX,FL1,First Lithium Limited,market_cap,below_min_market_cap:12998119
FLC.AX,FLC,Fluence Corporation Limited,expected_fcf,expected_fcf_not_positive
FLG.AX,FLG,Flagship Minerals Limited,market_cap,below_min_market_cap:45718778
FLN.AX,FLN,Freelancer Limited,market_cap,below_min_market_cap:35365871
FLX.AX,FLX,Felix Group Holdings Ltd,market_cap,below_min_market_cap:8087720
FME.AX,FME,Future Metals NL,market_cap,below_min_market_cap:10033682
FMN.AX,FMN,Famien Resources Limited,market_cap,below_min_market_cap:35354586
FMR.AX,FMR,FMR Resources Limited,market_cap,below_min_market_cap:23457338
FND.AX,FND,Findi Limited,market_cap,below_min_market_cap:28868086
FNR.AX,FNR,Far Northern Resources Limited,market_cap,below_min_market_cap:7133375
FNX.AX,FNX,Finexia Financial Group Limited,identity,excluded_sector:Financial Services
FOS.AX,FOS,FOS Capital Limited,market_cap,below_min_market_cap:5635982
FRB.AX,FRB,Firebird Metals Limited,market_cap,below_min_market_cap:19503894
FRE.AX,FRE,Firebrick Pharma Limited,market_cap,below_min_market_cap:6143293
FRI.AX,FRI,Finbar Group Limited,expected_fcf,expected_fcf_not_positive
FRM.AX,FRM,Farm Pride Foods Limited,market_cap,below_min_market_cap:42740140
FRS.AX,FRS,Forrestania Resources Limited,financial_data,insufficient_annual_history:0
FRX.AX,FRX,FlexiRoam Limited,market_cap,below_min_market_cap:24873092
FSA.AX,FSA,FSA Group Limited,identity,excluded_sector:Financial Services
FTI.AX,FTI,Fortifai Limited,financial_data,ttm_ebitda_not_positive
FUL.AX,FUL,Fulcrum Lithium Ltd,market_cap,below_min_market_cap:7649198
FUN.AX,FUN,Fortuna Metals Limited,market_cap,below_min_market_cap:27362435
FXG.AX,FXG,Felix Gold Limited,financial_data,insufficient_annual_history:0
FZR.AX,FZR,Fitzroy River Corporation Limited,market_cap,below_min_market_cap:26940454
G11.AX,G11,G11 Resources Limited,market_cap,below_min_market_cap:22225458
G1C.AX,G1C,Group One Capital Limited,market_cap,below_min_market_cap:14836654
G50.AX,G50,G50 Corp Limited,financial_data,insufficient_annual_history:0
G6M.AX,G6M,Group 6 Metals Limited,financial_data,insufficient_annual_history:1
G88.AX,G88,Golden Mile Resources Limited,market_cap,below_min_market_cap:3748565
GA8.AX,GA8,GoldArc Resources Limited,market_cap,below_min_market_cap:27514113
GAL.AX,GAL,Galileo Mining Ltd,market_cap,below_min_market_cap:16204540
GAP.AX,GAP,Gale Pacific Limited,market_cap,below_min_market_cap:22324520
GAS.AX,GAS,State Gas Limited,market_cap,below_min_market_cap:4312108
GBE.AX,GBE,Globe Metals & Mining Limited,market_cap,below_min_market_cap:41112860
GBL.AX,GBL,Great Bear Exploration Ltd,market_cap,below_min_market_cap:7971460
GBM.AX,GBM,GBM Resources Limited,financial_data,insufficient_annual_history:2
GBR.AX,GBR,Great Boulder Resources Limited,financial_data,insufficient_annual_history:0
GCM.AX,GCM,GCM Corporation Limited,market_cap,below_min_market_cap:15150989
GCR.AX,GCR,Golden Cross Resources Limited,market_cap,below_min_market_cap:1564714
GDG.AX,GDG,Generation Development Group Limited,identity,excluded_sector:Financial Services
GDI.AX,GDI,GDI Property Group,expected_fcf,expected_fcf_not_positive
GDM.AX,GDM,Great Divide Mining Ltd,market_cap,below_min_market_cap:16343291
GDR.AX,GDR,Golden Dragon Mining Ltd,market_cap,below_min_market_cap:7293548
GED.AX,GED,Golden Deeps Limited,market_cap,below_min_market_cap:8616311
GEN.AX,GEN,Genmin Limited,market_cap,below_min_market_cap:17266847
GES.AX,GES,Genesis Resources Limited,market_cap,below_min_market_cap:6698107
GG1.AX,GG1,Green & Gold Minerals Limited,market_cap,below_min_market_cap:4142357
GG8.AX,GG8,Gorilla Gold Mines Ltd,financial_data,insufficient_annual_history:0
GGE.AX,GGE,Grand Gulf Energy Limited,market_cap,below_min_market_cap:2224902
GGM.AX,GGM,Global Gold Mining Limited,financial_data,insufficient_annual_history:0
GGR.AX,GGR,Golden Globe Resources Ltd,market_cap,below_min_market_cap:14975851
GHM.AX,GHM,Golden Horse Minerals Limited,financial_data,ttm_ebitda_not_positive
GHY.AX,GHY,Gold Hydrogen Limited,financial_data,insufficient_annual_history:0
GIB.AX,GIB,Gibb River Diamonds Limited,market_cap,below_min_market_cap:5200229
GL1.AX,GL1,Global Lithium Resources Limited,financial_data,insufficient_annual_history:2
GLE.AX,GLE,GLG Corp Ltd,market_cap,below_min_market_cap:7396791
GLH.AX,GLH,Global Health Limited,market_cap,below_min_market_cap:2012219
GLL.AX,GLL,Galilee Energy Limited,market_cap,below_min_market_cap:7198065
GLN.AX,GLN,Galan Lithium Limited,financial_data,insufficient_annual_history:0
GMG.AX,GMG,Goodman Group,identity,excluded_industry:reit
GML.AX,GML,Gateway Mining Limited,financial_data,insufficient_annual_history:0
GMN.AX,GMN,Gold Mountain Limited,market_cap,below_min_market_cap:14766998
GNM.AX,GNM,Great Northern Minerals Limited,market_cap,below_min_market_cap:12323954
GOW.AX,GOW,Gowing Bros. Limited,identity,excluded_sector:Financial Services
GOZ.AX,GOZ,Growthpoint Properties Australia,identity,excluded_industry:reit
GPR.AX,GPR,Geopacific Resources Limited,financial_data,insufficient_annual_history:0
GPT.AX,GPT,The GPT Group,identity,excluded_industry:reit
GQG.AX,GQG,GQG Partners Inc.,identity,excluded_sector:Financial Services
GR8.AX,GR8,Great Dirt Resources Ltd,market_cap,below_min_market_cap:26035011
GRE.AX,GRE,GreenTech Metals Limited,market_cap,below_min_market_cap:13351264
GRS.AX,GRS,Gwardar Resources Limited,market_cap,below_min_market_cap:10823562
GRV.AX,GRV,Greenvale Energy Ltd,market_cap,below_min_market_cap:11776516
GRX.AX,GRX,GreenX Metals Limited,financial_data,ttm_ebitda_not_positive
GSM.AX,GSM,Golden State Mining Limited,market_cap,below_min_market_cap:3784041
GSN.AX,GSN,Great Southern Mining Limited,market_cap,below_min_market_cap:22512788
GSS.AX,GSS,Genetic Signatures Limited,market_cap,below_min_market_cap:11822555
GT1.AX,GT1,Green Technology Metals Limited,market_cap,below_min_market_cap:12028794
GT3.AX,GT3,Green360 Technologies LImited,market_cap,below_min_market_cap:25743534
GTE.AX,GTE,Great Western Exploration Limited,market_cap,below_min_market_cap:5544322
GTG.AX,GTG,Genetic Technologies Limited,market_cap,below_min_market_cap:4043688
GTI.AX,GTI,Gratifii Limited,market_cap,below_min_market_cap:15743123
GTN.AX,GTN,GTN Limited,market_cap,below_min_market_cap:24470502
GUL.AX,GUL,Gullewa Limited,market_cap,below_min_market_cap:13368918
GUM.AX,GUM,Gumtree Australia Markets Limited,market_cap,below_min_market_cap:20385823
GW1.AX,GW1,Greenwing Resources Ltd,market_cap,below_min_market_cap:33691441
GWR.AX,GWR,GWR Group Limited,market_cap,below_min_market_cap:34811139
H2G.AX,H2G,H2G Limited,market_cap,below_min_market_cap:6269334
H3E.AX,H3E,H3 Energy Limited,market_cap,below_min_market_cap:4779902
HAL.AX,HAL,Halo Technologies Holdings Limited,market_cap,below_min_market_cap:2916364
HAR.AX,HAR,Haranga Resources Limited,market_cap,below_min_market_cap:20027302
HAS.AX,HAS,Hastings Technology Metals Limited,market_cap,below_min_market_cap:45944532
HAV.AX,HAV,Havilah Resources Limited,financial_data,insufficient_annual_history:0
HAW.AX,HAW,Hawthorn Resources Limited,market_cap,below_min_market_cap:19587366
HCH.AX,HCH,Hot Chili Limited,financial_data,insufficient_annual_history:0
HCL.AX,HCL,HighCom Limited,market_cap,below_min_market_cap:12120228
HCT.AX,HCT,Holista Colltech Limited,market_cap,below_min_market_cap:11539901
HE8.AX,HE8,Helios Energy Limited,market_cap,below_min_market_cap:5539116
HFR.AX,HFR,Highfield Resources Limited,market_cap,below_min_market_cap:6422434
HFY.AX,HFY,Hubify Limited,market_cap,below_min_market_cap:4055597
HGH.AX,HGH,Heartland Group Holdings Limited,identity,excluded_sector:Financial Services
HIO.AX,HIO,Hawsons Iron Limited,market_cap,below_min_market_cap:8843648
HIQ.AX,HIQ,HITIQ Limited,market_cap,below_min_market_cap:3304623
HIT.AX,HIT,HiTech Group Australia Limited,market_cap,below_min_market_cap:33478074
HLI.AX,HLI,Helia Group Limited,identity,excluded_sector:Financial Services
HLX.AX,HLX,Helix Resources Limited,market_cap,below_min_market_cap:5488620
HMC.AX,HMC,HMC Capital Limited,identity,excluded_industry:reit
HMD.AX,HMD,HeraMED Limited,market_cap,below_min_market_cap:27262034
HMG.AX,HMG,Hamelin Gold Limited,market_cap,below_min_market_cap:44185285
HMI.AX,HMI,Hiremii Limited,market_cap,below_min_market_cap:5713173
HMX.AX,HMX,Hammer Metals Limited,financial_data,insufficient_annual_history:0
HMY.AX,HMY,Harmoney Corp Limited,identity,excluded_sector:Financial Services
HOR.AX,HOR,Horseshoe Metals Limited,market_cap,below_min_market_cap:16042974
HPC.AX,HPC,The Hydration Pharmaceuticals Company Limited,market_cap,below_min_market_cap:1150777
HPR.AX,HPR,High Peak Royalties Limited,market_cap,below_min_market_cap:13978333
HRE.AX,HRE,Heavy Rare Earths Limited,market_cap,below_min_market_cap:7328669
HRN.AX,HRN,Horizon Gold Limited,financial_data,insufficient_annual_history:0
HT8.AX,HT8,Harris Technology Group Limited,market_cap,below_min_market_cap:4531339
HTM.AX,HTM,High-Tech Metals Limited,market_cap,below_min_market_cap:18015798
HUB.AX,HUB,HUB24 Limited,identity,excluded_sector:Financial Services
HUM.AX,HUM,Humm Group Limited,identity,excluded_sector:Financial Services
HVY.AX,HVY,Heavy Minerals Limited,market_cap,below_min_market_cap:18054039
HWK.AX,HWK,Hawk Resources Limited,market_cap,below_min_market_cap:16234896
HXL.AX,HXL,Hexima Limited,identity,excluded_sector:Financial Services
HYD.AX,HYD,Hydrix Limited,market_cap,below_min_market_cap:3101068
HYT.AX,HYT,Hyterra Ltd,market_cap,below_min_market_cap:9167392
HZR.AX,HZR,Hazer Group Limited,financial_data,insufficient_annual_history:2
I88.AX,I88,Infini Resources Limited,market_cap,below_min_market_cap:7715310
IAG.AX,IAG,Insurance Australia Group Limited,identity,excluded_sector:Financial Services
IAM.AX,IAM,Income Asset Management Group Limited,identity,excluded_sector:Financial Services
IBR.AX,IBR,Iron Bear Resources Ltd,market_cap,below_min_market_cap:18930538
IBX.AX,IBX,Imagion Biosystems Limited,market_cap,below_min_market_cap:4569023
ICE.AX,ICE,icetana Limited,market_cap,below_min_market_cap:17052213
ICL.AX,ICL,Iceni Gold Limited,market_cap,below_min_market_cap:7770182
ICR.AX,ICR,Intelicare Holdings Limited,market_cap,below_min_market_cap:11730520
ICU.AX,ICU,Investor Centre Limited,identity,excluded_sector:Financial Services
ID8.AX,ID8,Identitii Limited,market_cap,below_min_market_cap:2749760
IDA.AX,IDA,Indiana Resources Limited,market_cap,below_min_market_cap:9186915
IDT.AX,IDT,IDT Australia Limited,market_cap,below_min_market_cap:14357309
IEQ.AX,IEQ,International Equities Corporation Limited,identity,quote_type:MUTUALFUND
IFG.AX,IFG,InFocus Group Holdings Limited,market_cap,below_min_market_cap:2591261
IFN.AX,IFN,Infragreen Group Limited,financial_data,insufficient_annual_history:0
IG6.AX,IG6,International Graphite Limited,market_cap,below_min_market_cap:9222435
IGN.AX,IGN,Ignite Limited,market_cap,below_min_market_cap:9021930
IIQ.AX,IIQ,INOVIQ Ltd,market_cap,below_min_market_cap:17063691
IKE.AX,IKE,ikeGPS Group Limited,financial_data,ttm_ebitda_not_positive
ILA.AX,ILA,Island Pharmaceuticals Limited,financial_data,ttm_ebitda_not_positive
ILT.AX,ILT,Iltani Resources Limited,market_cap,below_min_market_cap:24443125
ILU.AX,ILU,Iluka Resources Limited,expected_fcf,expected_fcf_not_positive
IMA.AX,IMA,Image Resources NL,market_cap,below_min_market_cap:12721393
IMC.AX,IMC,Immuron Limited,market_cap,below_min_market_cap:10128567
IME.AX,IME,ImExHS Limited,market_cap,below_min_market_cap:12605066
IMI.AX,IMI,Infinity Mining Limited,market_cap,below_min_market_cap:3193715
IMM.AX,IMM,Immutep Limited,market_cap,below_min_market_cap:47285178
IMR.AX,IMR,"Imricor Medical Systems, Inc.",financial_data,ttm_ebitda_not_positive
IMU.AX,IMU,Imugene Limited,market_cap,below_min_market_cap:18674984
INA.AX,INA,Ingenia Communities Group,identity,excluded_industry:reit
IND.AX,IND,Industrial Minerals Ltd,market_cap,below_min_market_cap:11600008
INF.AX,INF,Infinity Metals Limited,market_cap,below_min_market_cap:3026583
INR.AX,INR,ioneer Ltd,financial_data,ttm_fcf_unavailable
INV.AX,INV,InvestSMART Group Limited,identity,excluded_sector:Financial Services
IOD.AX,IOD,IODM Limited,market_cap,below_min_market_cap:42536883
ION.AX,ION,Iondrive Limited,financial_data,insufficient_annual_history:0
IOV.AX,IOV,Ion Video Ltd,market_cap,below_min_market_cap:37629937
IPC.AX,IPC,Imperial Pacific Limited,identity,excluded_sector:Financial Services
IPD.AX,IPD,ImpediMed Limited,market_cap,market_cap_unavailable
IPT.AX,IPT,Impact Minerals Limited,market_cap,below_min_market_cap:10685725
IPX.AX,IPX,IperionX Limited,financial_data,ttm_revenue_unavailable
IRD.AX,IRD,Iron Road Limited,market_cap,below_min_market_cap:5990679
IRI.AX,IRI,Integrated Research Limited,market_cap,below_min_market_cap:37341620
IS3.AX,IS3,I Synergy Group Limited,market_cap,below_min_market_cap:7204185
ITM.AX,ITM,iTech Minerals Ltd,market_cap,below_min_market_cap:8857070
ITS.AX,ITS,Infotrust Ltd,market_cap,below_min_market_cap:36548682
IVG.AX,IVG,InVert Graphite Ltd,market_cap,below_min_market_cap:13756795
IVR.AX,IVR,Investigator Silver Limited,financial_data,insufficient_annual_history:0
IVX.AX,IVX,Invion Limited,market_cap,below_min_market_cap:3503764
IVZ.AX,IVZ,Invictus Energy Limited,financial_data,insufficient_annual_history:0
IXC.AX,IXC,Invex Therapeutics Ltd,market_cap,below_min_market_cap:6162348
IXR.AX,IXR,Ionic Rare Earths Limited,financial_data,insufficient_annual_history:0
JAL.AX,JAL,Jameson Resources Limited,market_cap,below_min_market_cap:22898817
JAN.AX,JAN,Janison Education Group Limited,market_cap,below_min_market_cap:25942499
JAT.AX,JAT,Jatcorp Limited,market_cap,below_min_market_cap:7450374
JAV.AX,JAV,Javelin Minerals Limited,market_cap,below_min_market_cap:16894832
JCS.AX,JCS,JCurve Solutions Limited,market_cap,below_min_market_cap:8337492
JDO.AX,JDO,Judo Capital Holdings Limited,identity,excluded_sector:Financial Services
JGH.AX,JGH,Jade Gas Holdings Limited,financial_data,insufficient_annual_history:1
JLL.AX,JLL,Jindalee Lithium Limited,market_cap,below_min_market_cap:31053312
JMS.AX,JMS,Jupiter Mines Limited,financial_data,insufficient_annual_history:0
JNO.AX,JNO,Juno Minerals Limited,market_cap,below_min_market_cap:3878904
JNS.AX,JNS,Janus Electric Holdings Limited,financial_data,insufficient_annual_history:1
JPR.AX,JPR,Jupiter Energy Limited,market_cap,below_min_market_cap:22858921
KAL.AX,KAL,Kalgoorlie Gold Mining Limited,market_cap,below_min_market_cap:7150905
KAM.AX,KAM,K2 Asset Management Holdings Ltd,identity,excluded_sector:Financial Services
KAN.AX,KAN,Kantra Copper Ltd,financial_data,insufficient_annual_history:2
KAO.AX,KAO,Kaoko Metals Limited,financial_data,insufficient_annual_history:0
KCC.AX,KCC,Kincora Copper Limited,market_cap,below_min_market_cap:33723439
KCN.AX,KCN,Kingsgate Consolidated Limited,financial_data,insufficient_annual_history:2
KEY.AX,KEY,Key Petroleum Limited,market_cap,below_min_market_cap:2719494
KFM.AX,KFM,Kingfisher Mining Limited,market_cap,below_min_market_cap:5787989
KGL.AX,KGL,KGL Resources Limited,financial_data,insufficient_annual_history:0
KKO.AX,KKO,Kinetiko Energy Limited,market_cap,below_min_market_cap:42976367
KLI.AX,KLI,Killi Resources Limited,financial_data,insufficient_annual_history:1
KLR.AX,KLR,Kaili Resources Limited,market_cap,below_min_market_cap:8302766
KLV.AX,KLV,Klevo Group Limited,expected_fcf,expected_fcf_not_positive
KM1.AX,KM1,Kali Metals Limited,market_cap,below_min_market_cap:13511127
KME.AX,KME,Kip McGrath Education Centres Limited,market_cap,below_min_market_cap:27695685
KNB.AX,KNB,Koonenberry Gold Limited,market_cap,below_min_market_cap:22864473
KNG.AX,KNG,Kingsland Minerals Ltd,market_cap,below_min_market_cap:3230654
KNI.AX,KNI,Kuniko Limited,market_cap,below_min_market_cap:4741496
KNO.AX,KNO,Knosys Limited,market_cap,below_min_market_cap:3390411
KOA.AX,KOA,The Koala Company Limited,financial_data,insufficient_annual_history:0
KOB.AX,KOB,Koba Resources Limited,market_cap,below_min_market_cap:5703247
KOV.AX,KOV,Korvest Ltd,expected_fcf,expected_fcf_not_positive
KP2.AX,KP2,Kore Potash plc,financial_data,ttm_ebitda_not_positive
KPO.AX,KPO,Kalina Power Limited,market_cap,below_min_market_cap:46008948
KRM.AX,KRM,Kingsrose Mining Limited,market_cap,below_min_market_cap:12357297
KRR.AX,KRR,King River Resources Limited,financial_data,insufficient_annual_history:0
KSL.AX,KSL,Kina Securities Limited,identity,excluded_sector:Financial Services
KSN.AX,KSN,Kingston Resources Limited,market_cap,below_min_market_cap:27693829
KTA.AX,KTA,Krakatoa Resources Limited,market_cap,below_min_market_cap:9325987
KTK.AX,KTK,KTEK Aerosystems Ltd,market_cap,below_min_market_cap:17030303
KYN.AX,KYN,Kyron Capital Group,identity,excluded_sector:Financial Services
KYP.AX,KYP,Kinatico Ltd,market_cap,below_min_market_cap:40471890
KZR.AX,KZR,Kalamazoo Resources Limited,market_cap,below_min_market_cap:37909230
L1G.AX,L1G,L1 Group Limited,identity,excluded_sector:Financial Services
L1M.AX,L1M,Lightning Minerals Ltd,market_cap,below_min_market_cap:3252244
LAC.AX,LAC,Lac Gold Limited,financial_data,insufficient_annual_history:1
LAM.AX,LAM,Laramide Resources Ltd.,financial_data,ttm_ebitda_not_positive
LAT.AX,LAT,Latitude 66 Limited,market_cap,below_min_market_cap:19470157
LBL.AX,LBL,LaserBond Limited,market_cap,below_min_market_cap:46078307
LCE.AX,LCE,London City Equities Limited,identity,excluded_sector:Financial Services
LCL.AX,LCL,LCL Resources Limited,market_cap,below_min_market_cap:6016792
LCY.AX,LCY,Legacy Iron Ore Limited,market_cap,below_min_market_cap:34802289
LDR.AX,LDR,Lode Resources Ltd,market_cap,below_min_market_cap:15194936
LDX.AX,LDX,Lumos Diagnostics Holdings Limited,financial_data,ttm_ebitda_not_positive
LEG.AX,LEG,Legend Mining Limited,market_cap,below_min_market_cap:16624470
LEL.AX,LEL,LE Minerals Limited,market_cap,below_min_market_cap:25155430
LEX.AX,LEX,Lefroy Exploration Limited,market_cap,below_min_market_cap:26684292
LFG.AX,LFG,Liberty Financial Group Limited,identity,excluded_sector:Financial Services
LFS.AX,LFS,Latitude Group Holdings Limited,identity,excluded_sector:Financial Services
LFT.AX,LFT,Li-FT Power Ltd.,financial_data,ttm_ebitda_not_positive
LGI.AX,LGI,LGI Limited,expected_fcf,expected_fcf_not_positive
LGM.AX,LGM,Legacy Minerals Holdings Limited,market_cap,below_min_market_cap:16408735
LGP.AX,LGP,Little Green Pharma Ltd,market_cap,below_min_market_cap:40734778
LIB.AX,LIB,Liberty Metals Ltd,market_cap,below_min_market_cap:36154075
LIN.AX,LIN,Lindian Resources Limited,financial_data,insufficient_annual_history:1
LIO.AX,LIO,Lion Energy Limited,market_cap,below_min_market_cap:4191299
LIS.AX,LIS,Li-S Energy Limited,financial_data,insufficient_annual_history:1
LIT.AX,LIT,Livium Ltd,market_cap,below_min_market_cap:10861034
LKE.AX,LKE,Lake Resources NL,financial_data,insufficient_annual_history:0
LKO.AX,LKO,Lakes Blue Energy NL,market_cap,below_min_market_cap:17969406
LKY.AX,LKY,Locksley Resources Limited,market_cap,below_min_market_cap:15805933
LLC.AX,LLC,Lendlease Group,expected_fcf,expected_fcf_not_positive
LM1.AX,LM1,Leeuwin Metals Ltd,market_cap,below_min_market_cap:22220074
LM8.AX,LM8,Lunnon Metals Limited,financial_data,insufficient_annual_history:0
LMG.AX,LMG,Latrobe Magnesium Limited,market_cap,below_min_market_cap:34087640
LML.AX,LML,Lincoln Minerals Limited,market_cap,below_min_market_cap:18631721
LMS.AX,LMS,Litchfield Minerals Limited,market_cap,below_min_market_cap:8744275
LNQ.AX,LNQ,LinQ Minerals Limited,financial_data,insufficient_annual_history:0
LOT.AX,LOT,Lotus Resources Limited,financial_data,insufficient_annual_history:0
LPE.AX,LPE,Locality Planning Energy Holdings Limited,market_cap,below_min_market_cap:12370281
LPM.AX,LPM,Lithium Plus Minerals Ltd,market_cap,below_min_market_cap:14306025
LRD.AX,LRD,Lord Resources Limited,market_cap,below_min_market_cap:1768861
LRK.AX,LRK,LARK Distilling Co. Ltd.,financial_data,ttm_ebitda_not_positive
LRM.AX,LRM,Lion Rock Minerals Ltd,financial_data,insufficient_annual_history:0
LRV.AX,LRV,Larvotto Resources Limited,financial_data,insufficient_annual_history:0
LSA.AX,LSA,Lachlan Star Limited,market_cap,below_min_market_cap:34440176
LSR.AX,LSR,Lodestar Minerals Limited,market_cap,below_min_market_cap:9028507
LTP.AX,LTP,LTR Pharma Limited,financial_data,insufficient_annual_history:1
LTR.AX,LTR,Liontown Limited,financial_data,insufficient_annual_history:2
